"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,40562312,131190450,1,02-SEP-20,3,"N",39,5,29,"F",2,,"U","","",29,0
2020,40558311,131194101,1,19-SEP-20,3,"N",16,5,43,"F",1,2,"R","","",43,0
2020,40558297,131190834,1,16-SEP-20,1,"N",49,5,26,"M",1,2,"R","","",26,0
2020,40558301,131194067,1,15-SEP-20,1,"N",27,5,37,"M",2,2,"R","","",37,0
2020,40558413,131194443,1,03-OCT-20,1,"N",51,5,14,"F",1,2,"R","R","",14,0
2020,40558352,131194278,3,23-OCT-20,3,"N",16,5,27,"M",1,1,"U","","",27,0
2020,40562698,131196629,1,09-OCT-20,2,"N",16,5,49,"F",2,2,"R","","",49,0
2020,40558426,131196219,1,17-AUG-20,3,"N",16,5,20,"M",1,2,"U","","",20,0
2020,40558493,131194673,1,29-AUG-20,2,"N",16,5,26,"M",1,,"N","","",26,0
2020,40558495,131194681,1,17-OCT-20,3,"N",29,5,25,"M",1,2,"R","","",25,0
2020,40558549,131196579,1,24-SEP-20,3,"N",16,5,34,"F",1,,"U","","",34,0
2020,40562712,131196648,1,16-OCT-20,2,"N",16,5,29,"M",1,,"U","","",29,0
2020,40563633,131203002,1,06-APR-20,1,"N",51,5,20,"F",2,2,"R","","",20,0
2020,40563644,131203072,1,24-APR-20,1,"N",36,5,37,"M",2,2,"R","","",37,0
2020,40563818,131203916,1,15-MAY-20,1,"N",35,5,27,"M",1,2,"N","","",27,0
2020,40564743,131203955,1,16-MAY-20,1,"N",23,5,32,"F",2,2,"N","","",32,0
2020,40564756,131200130,1,17-MAY-20,1,"N",51,5,28,"F",1,2,"R","","",28,0
2020,40563853,131200130,2,17-MAY-20,1,"N",51,5,33,"M",1,2,"R","","",33,0
2020,40563893,131200242,1,20-MAY-20,1,"N",16,5,43,"M",2,2,"R","","",43,0
2020,40563902,131204214,1,20-MAY-20,1,"N",16,5,27,"M",1,2,"R","","",27,0
2020,40563906,131204216,1,20-MAY-20,1,"N",39,5,30,"M",2,2,"R","","",30,0
2020,40563911,131204248,1,21-MAY-20,1,"N",39,5,43,"M",2,2,"R","","",43,0
2020,40563958,131204402,1,24-MAY-20,1,"N",39,5,21,"M",2,1,"R","","",21,0
2020,40563973,131204469,1,25-MAY-20,1,"N",51,5,35,"M",2,2,"R","","",35,0
2020,40563975,131204475,1,25-MAY-20,1,"N",39,5,20,"M",2,2,"R","","",20,0
2020,40563991,131204542,1,26-MAY-20,1,"N",39,5,21,"M",2,2,"R","","",21,0
2020,40564857,131204602,1,26-MAY-20,1,"N",2,5,29,"M",2,2,"U","","",29,0
2020,40564014,131204666,1,27-MAY-20,2,"N",23,5,33,"F",2,2,"R","","",33,0
2020,40564015,131204666,2,27-MAY-20,2,"N",23,5,42,"M",2,2,"R","","",42,0
2020,40564875,131204679,1,27-MAY-20,1,"N",51,5,45,"M",1,2,"R","","",45,0
2020,40564019,131204689,1,27-MAY-20,1,"N",27,5,48,"F",2,2,"R","","",48,0
2020,40564028,131204711,1,28-MAY-20,1,"N",51,5,59,"M",2,2,"R","","",59,0
2020,40564910,131200726,1,30-MAY-20,1,"N",49,5,33,"F",2,2,"R","","",33,0
2020,40564058,131200726,3,30-MAY-20,1,"N",49,5,35,"M",2,2,"R","","",35,0
2020,40564911,131200726,2,30-MAY-20,1,"N",49,5,32,"F",2,2,"R","","",32,0
2020,40962984,132492292,1,31-JUL-20,1,"N",51,5,46,"M",1,2,"N","","",46,0
2020,40962995,132497631,1,01-AUG-20,1,"N",51,5,14,"M",2,2,"R","R","",14,0
2020,40963015,132497695,1,01-AUG-20,1,"N",27,5,40,"M",2,2,"R","","",40,0
2020,40963046,132492396,1,03-AUG-20,1,"N",51,5,56,"M",2,2,"R","","",56,0
2020,40963064,132497939,1,06-AUG-20,3,"N",51,5,24,"M",2,2,"U","","",24,0
2020,41139934,133147069,1,27-MAY-20,2,"N",49,5,25,"F",1,2,"U","","",25,0
2020,41137145,133147102,1,30-SEP-20,2,"N",16,5,50,"M",1,2,"U","","",50,0
2020,41140340,133148625,1,10-SEP-20,1,"N",23,5,23,"M",1,2,"R","","",23,0
2020,41140269,133148178,1,10-DEC-20,3,"C",49,5,30,"M",2,,"","","",30,0
2020,41137423,133148215,1,17-DEC-20,1,"C",49,5,29,"F",2,,"","","",29,0
2020,41137591,133144575,1,03-JUN-20,1,"N",51,5,36,"M",1,2,"R","","",36,0
2020,41140392,133148854,1,11-MAY-20,2,"N",23,5,29,"F",1,2,"N","","",29,0
2020,41140397,133144480,1,14-MAY-20,1,"N",16,5,51,"F",1,2,"N","","",51,0
2020,41137602,133148988,1,18-JUN-20,2,"N",49,5,58,"M",1,2,"N","","",58,0
2020,41137668,133144750,1,11-OCT-20,2,"N",44,5,43,"F",1,2,"N","","",43,0
2020,41140669,133145290,1,02-DEC-20,3,"N",44,5,45,"M",1,,"R","","",45,0
2020,41140585,133145024,1,24-JUL-20,2,"N",51,5,66,"M",1,2,"N","","",66,0
2020,41141030,133150782,1,19-NOV-20,1,"N",16,5,40,"M",1,2,"N","","",40,0
2020,41138118,133145936,1,27-SEP-20,2,"N",23,5,25,"F",1,2,"N","","",25,0
2020,41138218,133150680,1,27-DEC-20,2,"N",16,5,34,"M",1,2,"R","","",34,0
2020,41138298,133150899,1,02-SEP-20,3,"N",51,5,23,"F",1,2,"","","",23,0
2020,41141117,133150971,1,06-SEP-20,3,"N",16,5,27,"M",2,2,"","","",27,0
2020,41141122,133150979,1,24-SEP-20,3,"N",51,5,25,"M",2,2,"","","",25,0
2020,40558845,131195643,1,26-AUG-20,3,"N",16,5,41,"M",0,,"U","","",41,0
2020,40558814,131195519,1,15-OCT-20,2,"N",16,5,37,"M",2,,"U","","",37,0
2020,40562963,131195554,1,24-FEB-20,3,"N",16,5,29,"M",2,,"U","","",29,0
2020,40558846,131195643,2,26-AUG-20,3,"N",16,5,35,"F",0,,"U","","",35,0
2020,40563366,131198505,1,06-OCT-20,3,"N",46,5,30,"M",2,,"R","","",30,0
2020,40563362,131201993,1,30-SEP-20,3,"N",46,5,35,"F",1,,"R","","",35,0
2020,40564603,131199409,1,08-MAY-20,3,"N",51,5,31,"M",2,2,"R","","",31,0
2020,40564605,131199440,1,25-APR-20,1,"N",51,5,27,"M",2,2,"R","","",27,0
2020,40564606,131199443,1,26-APR-20,1,"N",51,5,35,"F",2,2,"R","","",35,0
2020,40564608,131199488,1,01-MAY-20,1,"N",51,5,35,"M",1,1,"R","","",35,0
2020,40563674,131199555,1,02-MAY-20,2,"N",16,5,68,"M",1,2,"R","","",68,0
2020,40564626,131199564,1,02-MAY-20,1,"N",39,5,28,"M",1,2,"R","","",28,0
2020,40564634,131199608,1,04-MAY-20,1,"N",16,5,47,"M",1,2,"N","","",47,0
2020,40563698,131203365,1,04-MAY-20,1,"N",35,5,34,"M",1,2,"R","","",34,0
2020,40564666,131199723,1,07-MAY-20,1,"N",51,5,34,"M",2,2,"R","","",34,0
2020,40563764,131199804,1,09-MAY-20,1,"C",16,5,21,"M",2,2,"R","","",21,0
2020,40564689,131203673,1,10-MAY-20,3,"N",16,5,52,"M",1,2,"R","","",52,0
